class,peer,path,rationale,confidence
B,yes,dev/skills/dev-refactoring/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-security-pipeline/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-tdd-workflow/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-testing-backend/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-testing-e2e/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-testing-frontend/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-verification-engine/SKILL.md,Codex packaging or wording conversion,likely
B,yes,dev/skills/dev-workflow/SKILL.md,Codex packaging or wording conversion,likely
B,no,plan/.gitkeep,Codex structural placeholder,likely
C,yes,plan/_constants/idea-folders.json,Codex runtime or schema asset,likely
C,yes,plan/_constants/pii-masking-rules.json,Codex runtime or schema asset,likely
C,yes,plan/_schemas/5axis.schema.json,Codex runtime or schema asset,likely
C,yes,plan/_schemas/rescoring-log-entry.schema.json,Codex runtime or schema asset,likely
C,yes,plan/_schemas/rice.schema.json,Codex runtime or schema asset,likely
C,yes,plan/_schemas/routing-metadata.schema.json,Codex runtime or schema asset,likely
B,yes,plan/_templates/decision-log.template.md,Codex packaging or wording conversion,likely
A,yes,plan/_templates/design-manifest.template.md,Exact same-hash peer duplicate,confirmed
A,yes,plan/_templates/design-prompt-highfidelity.template.md,Exact same-hash peer duplicate,confirmed
A,yes,plan/_templates/design-prompt-wireframe.template.md,Exact same-hash peer duplicate,confirmed
B,yes,plan/_templates/dev-gate-checklist.template.md,Codex packaging or wording conversion,likely
B,yes,plan/_templates/rescoring-log-entry.template.md,Codex packaging or wording conversion,likely
B,yes,plan/agents/plan-bridge-writer.md,Codex packaging or wording conversion,likely
B,yes,plan/agents/plan-design-writer.md,Codex packaging or wording conversion,likely
C,yes,plan/agents/plan-dev-gate.js,Codex runtime or schema asset,likely
B,yes,plan/agents/plan-draft-writer.md,Codex packaging or wording conversion,likely
B,yes,plan/agents/plan-idea-collector.md,Codex packaging or wording conversion,likely
B,yes,plan/agents/plan-idea-screener.md,Codex packaging or wording conversion,likely
C,yes,plan/agents/plan-idea-screener-rescoring.js,Codex runtime or schema asset,likely
B,yes,plan/agents/plan-prd-writer.md,Codex packaging or wording conversion,likely
B,yes,plan/agents/plan-reviewer.md,Codex packaging or wording conversion,likely
B,yes,plan/agents/plan-stitch-integrator.md,Codex packaging or wording conversion,likely
C,yes,plan/agents/plan-wireframe-checklist.js,Codex runtime or schema asset,likely
B,yes,plan/agents/plan-wireframe-designer.md,Codex packaging or wording conversion,likely
C,yes,plan/boundary/bridge-phase-a.js,Codex runtime or schema asset,likely
B,yes,plan/commands/plan-archive.md,Codex packaging or wording conversion,likely
B,yes,plan/commands/plan-bridge.md,Codex packaging or wording conversion,likely
B,yes,plan/commands/plan-design.md,Codex packaging or wording conversion,likely
B,yes,plan/commands/plan-draft.md,Codex packaging or wording conversion,likely
B,yes,plan/commands/plan-idea.md,Codex packaging or wording conversion,likely
B,yes,plan/commands/plan-improve.md,Codex packaging or wording conversion,likely
B,yes,plan/commands/plan-prd.md,Codex packaging or wording conversion,likely
B,yes,plan/commands/plan-review.md,Codex packaging or wording conversion,likely
B,yes,plan/commands/plan-screen.md,Codex packaging or wording conversion,likely
B,yes,plan/commands/plan-stitch.md,Codex packaging or wording conversion,likely
B,yes,plan/commands/plan-wireframe.md,Codex packaging or wording conversion,likely
C,yes,plan/hooks/package.json,Codex runtime or schema asset,likely
C,yes,plan/hooks/plan-doc-guard.js,Codex runtime or schema asset,likely
C,yes,plan/hooks/plan-idea-move-guard.js,Codex runtime or schema asset,likely
C,yes,plan/hooks/plan-review-trigger.js,Codex runtime or schema asset,likely
B,yes,plan/skills/claude-design-workflow/SKILL.md,Codex packaging or wording conversion,likely
B,yes,plan/skills/plan-archive-workflow/SKILL.md,Codex packaging or wording conversion,likely
B,yes,plan/skills/plan-idea-management/SKILL.md,Codex packaging or wording conversion,likely
B,yes,plan/skills/plan-pipeline/SKILL.md,Codex packaging or wording conversion,likely
B,yes,plan/skills/plan-prd-authoring/SKILL.md,Codex packaging or wording conversion,likely
B,yes,plan/skills/plan-review-criteria/SKILL.md,Codex packaging or wording conversion,likely
B,yes,plan/skills/plan-screening-workflow/SKILL.md,Codex packaging or wording conversion,likely
B,yes,plan/skills/plan-stitch-workflow/SKILL.md,Codex packaging or wording conversion,likely
B,yes,plan/skills/plan-wireframe-design/SKILL.md,Codex packaging or wording conversion,likely
